section,number,semester,year
ENG,100,F,1
MATH,221,F,1
ECON,102,F,1
ECE,120,F,1
RHET,105,F,1
ECON,103,S,1
PHYS,211,S,1
CHEM,102,S,1
CHEM,103,S,1
ECE,110,S,1
MATH,231,S,1
MATH,241,F,2
PHYS,212,F,2
CS,173,F,2
ECE,220,F,2
HIST,100,S,2
MATH,286,S,2
ECE,210,S,2
CS,225,S,2
PHYS,214,S,2
ECE,313,F,3
ECE,428,F,3
ECE,329,F,3
PHYS,213,F,3
PSYC,100,F,3
HIST,172,S,3
ECE,391,S,3
CS,374,S,3
ECE,448,S,3
MATH,461,S,3
HIST,120,F,4
ECE,411,F,4
ECE,422,F,4
ECE,402,F,4
MATH,412,F,4
STAT,425,S,4
ECE,403,S,4
ECE,438,S,4
ECE,414,S,4
ECE,453,S,4
