section,number,semester,year
CHEM,102,F,1
CHEM,103,F,1
MATH,221,F,1
RHET,105,F,1
CS,100,F,1
CS,125,F,1
ENG,100,F,1
CS,173,S,1
MATH,231,S,1
ECON,102,S,1
PHYS,211,S,1
PSYC,100,S,1
CS,225,F,2
MATH,241,F,2
PHYS,212,F,2
HIST,100,F,2
CS,241,S,2
CS,233,S,2
MATH,415,S,2
PHYS,214,S,2
HIST,120,S,2
CS,210,F,3
CS,242,F,3
CS,498,F,3
HIST,172,F,3
ECON,103,F,3
STAT,400,S,3
CS,418,S,3
CS,465,S,3
CS,411,S,3
CS,357,S,3
CS,421,F,4
CS,440,F,4
CS,461,F,4
CS,492,F,4
CS,493,S,4
CS,467,S,4
CS,412,S,4
MATH,461,S,4
CS,412,S,4
